id,en,ru,uk
"4","Afghanistan","Афганистан","Афганістан"
"8","Albania","Албания","Албанія"
"12","Algeria","Алжир","Алжир"
"20","Andorra","Андорра","Андорра"
"24","Angola","Ангола","Ангола"
"28","Antigua and Barbuda","Антигуа и Барбуда","Антигуа і Барбуда"
"32","Argentina","Аргентина","Аргентина"
"51","Armenia","Армения","Вірменія"
"36","Australia","Австралия","Австралія"
"40","Austria","Австрия","Австрія"
"31","Azerbaijan","Азербайджан","Азербайджан"
"44","Bahamas","Багамские Острова","Багамські Острови"
"48","Bahrain","Бахрейн","Бахрейн"
"50","Bangladesh","Бангладеш","Бангладеш"
"52","Barbados","Барбадос","Барбадос"
"112","Belarus","Беларусь","Білорусь"
"56","Belgium","Бельгия","Бельгія"
"84","Belize","Белиз","Беліз"
"204","Benin","Бенин","Бенін"
"64","Bhutan","Бутан","Бутан"
"68","Bolivia, Plurinational State of","Боливия","Болівія"
"70","Bosnia and Herzegovina","Босния и Герцеговина","Боснія і Герцеговина"
"72","Botswana","Ботсвана","Ботсвана"
"76","Brazil","Бразилия","Бразилія"
"96","Brunei Darussalam","Бруней","Бруней"
"100","Bulgaria","Болгария","Болгарія"
"854","Burkina Faso","Буркина-Фасо","Буркіна-Фасо"
"108","Burundi","Бурунди","Бурунді"
"116","Cambodia","Камбоджа","Камбоджа"
"120","Cameroon","Камерун","Камерун"
"124","Canada","Канада","Канада"
"132","Cabo Verde","Кабо-Верде","Кабо-Верде"
"140","Central African Republic","ЦАР","Центральноафриканська Республіка"
"148","Chad","Чад","Чад"
"152","Chile","Чили","Чилі"
"156","China","Китай (КНР)","Китайська Народна Республіка"
"170","Colombia","Колумбия","Колумбія"
"174","Comoros","Коморы","Коморські Острови"
"178","Congo","Республика Конго","Республіка Конго"
"180","Congo, Democratic Republic of the","ДР Конго","ДР Конго"
"188","Costa Rica","Коста-Рика","Коста-Рика"
"384","Côte d'Ivoire","Кот-д’Ивуар","Кот-д'Івуар"
"191","Croatia","Хорватия","Хорватія"
"192","Cuba","Куба","Куба"
"196","Cyprus","Кипр","Кіпр"
"203","Czechia","Чехия","Чехія"
"208","Denmark","Дания","Данія"
"262","Djibouti","Джибути","Джибуті"
"212","Dominica","Доминика","Домініка"
"214","Dominican Republic","Доминиканская Республика","Домініканська Республіка"
"218","Ecuador","Эквадор","Еквадор"
"818","Egypt","Египет","Єгипет"
"222","El Salvador","Сальвадор","Сальвадор"
"226","Equatorial Guinea","Экваториальная Гвинея","Екваторіальна Гвінея"
"232","Eritrea","Эритрея","Еритрея"
"233","Estonia","Эстония","Естонія"
